"","Period","Species","Area","Centroid_X","Centroid_Y","Elevation","Contraction","Distance","Overlap","Shift_Accelerate","Double_Back","Double_Back_Relative","PoleShift","Elevation_Group","PoleShift_km","Extinction","Extinction_Overlap"
"149","2050","Saxifraga cochlearis",71987.85,3.86987364680879,46.4561458125789,681.82,-0.53,201.654402257994,0.452623876087098,"-1",0,0,1.26705177703312,"0",140.830083408325,0.17,0.18
"150","2050","Saxifraga conifera",109.54,-4.77678571428571,43.0744047619048,2002.86,-0.98,43.6899182655948,0.0164483496804544,"-1",0,0,0.29749299719888,"0",33.0488802701828,0.64,0.64
"151","2050","Saxifraga consanguinea",290034.63,97.8983622574192,32.4686926416301,4405.37,-0.27,51.8216929872277,0.729593009229444,"-1",0,0,-0.0235231235653117,"1",2.60860271239196,0.08,0.08
"152","2050","Saxifraga cortusifolia",20739.68,136.954778156997,36.410800625711,636.23,-0.45,229.353272638816,0.521911012195925,"1",0,0,1.34923915222441,"0",149.703662309885,0.14,0.15
"153","2050","Saxifraga cotyledon",205490.44,4.19433867405136,61.52177496456,510.53,-0.09,142.479200604789,0.727443662611618,"-1",0,0,1.2277851390906,"0",136.809093387906,0.02,0.08
"154","2050","Saxifraga crustata",30056.11,11.2963853710018,46.7217182172431,2034.39,-0.59,172.9298905374,0.327785250097084,"-1",0,0,-0.339824980307526,"0",37.7779105383875,0.2,0.24
"155","2050","Saxifraga cuneata",15585.47,0.333417001338689,43.289031124498,1823.89,-0.82,70.9855778006918,0.174659789735503,"1",0,0,0.545476401723924,"0",60.5986395149008,0.35,0.35
"156","2050","Saxifraga cuneifolia",99357.07,11.2501783300796,45.2576369074436,1595.45,-0.27,121.27048117151,0.60528007221008,"-1",0,0,0.489810255624704,"0",54.4336061982303,0.08,0.12
"157","2050","Saxifraga diapensioides",2439.57,6.09148550724638,44.7573757763975,2572.09,-0.79,104.341407045623,0.210200173981655,"-1",0,0,0.666185456642808,"0",74.0268801587427,0.32,0.32
"158","2050","Saxifraga dichotoma",5807.59,-2.08479225023343,38.9418183940243,1636.22,-0.94,239.561016254927,0.0608160183971214,"-1",0,0,-2.12496588016927,"0",235.945030856259,0.5,0.5
"159","2050","Saxifraga diversifolia",159810.35,98.1501033539071,29.4147864019254,4218.8,-0.4,112.35150800823,0.600057775919146,"-1",0,0,0.547659711743144,"1",60.7015610255622,0.12,0.12
"160","2050","Saxifraga egregia",774280.89,89.9488941367817,29.963607265327,2344.46,0.2,258.067183361657,0.893921228627202,"-1",0,0,0.986665981571381,"0",109.365587747998,0,0.03
"161","2050","Saxifraga erioblasta",3257.91,-4.43189964157706,35.9502688172043,1598.12,-0.79,102.121863871631,0.214831244006701,"-1",0,0,-0.175850230414746,"0",19.5122904175921,0.32,0.32
"162","2050","Saxifraga eschscholtzii",2136944.5,-32.0957837570713,63.3117754846649,628.49,-0.22,2803.24070491131,0.621871377050916,"-1",0,0,7.21397792438158,"0",803.684293171797,0.06,0.11
"163","2050","Saxifraga exarata",19932.25,8.03078686259734,45.2095422004521,2424.68,-0.67,277.106430735177,0.295610989524959,"-1",0,0,-0.0179624280086728,"0",1.9962732602319,0.24,0.26
"164","2050","Saxifraga federici-augusti",8967.43,19.7261160714286,40.3050595238095,1676.77,-0.86,70.2580456522377,0.136695705807853,"-1",0,0,-0.0920398390917256,"0",10.2202313801081,0.39,0.39
"165","2050","Saxifraga felineri",345.77,-0.00757575757575694,42.7310606060606,2486.86,-0.98,104.605700958237,0.0212079448389595,"-1",0,0,0.00743878028111311,"0",0.826354953987693,0.62,0.62
"166","2050","Saxifraga filicaulis",409832.04,91.8653926530488,29.0369589336738,4458.83,-0.11,120.948725548775,0.742631776215651,"1",0,0,0.663964880236176,"1",73.5878383112961,0.03,0.07
"167","2050","Saxifraga finitima",88020.44,98.0192966652536,29.2339268051434,4423.01,-0.36,107.082881840195,0.641889790820979,"-1",0,0,-0.961860175365782,"1",106.61995397798,0.1,0.1
"168","2050","Saxifraga flagellaris",1500.18,43.1588541666667,43.07421875,3535.45,-0.92,44.6225784685371,0.0847622750234497,"-1",0,0,0.214732934397162,"1",23.8551305830454,0.46,0.46
"169","2050","Saxifraga fortunei",75778.71,130.612399787786,33.6041961408473,305.62,-0.12,72.7979156375022,0.868022116113995,"-1",0,0,-0.592223223970201,"0",65.6897496707806,0.03,0.03
"170","2050","Saxifraga fragosoi",43193.09,-1.30086786623046,42.6044695868169,1237.68,-0.61,103.505836569604,0.348460334949124,"1",0,0,0.00959561343827176,"0",1.06592815314602,0.21,0.23
"171","2050","Saxifraga gemmipara",70355.35,99.514065710712,27.5323025551684,3458.2,-0.6,361.670393503282,0.215912556226394,"1",0,0,2.35530637140208,"0",260.952749643141,0.2,0.32
"172","2050","Saxifraga gemmulosa",17098.67,-7.68598339719029,39.2764607279693,572.38,-0.55,238.209336526393,0.325710609404628,"-1",0,0,1.80273455357343,"0",200.110040159812,0.18,0.24
"173","2050","Saxifraga genesiana",60289.52,1.64344245028649,44.0763292045838,663.49,0.35,23.5938516506813,0.905449251630544,"1",0,0,0.103570593758718,"0",11.5080105171408,0,0.02
"174","2050","Saxifraga geranioides",49496.57,4.04036841073878,48.0324196551048,890.47,-0.62,146.241464116074,0.336985732400255,"1",0,0,-1.22673119421777,"0",136.416023014987,0.22,0.24
"175","2050","Saxifraga glacialis",438097.88,98.6467965065263,32.3902822337392,4352.2,-0.23,60.3898529988195,0.770230003577938,"-1",0,0,0.0418762643783666,"1",4.64379687177496,0.06,0.06
